,titles,publishers,authors,years
0,Sociological odyssey : contemporary readings in introductory sociology,"3rd ed Belmont, CA : Wadsworth/Cengage Learning c2010","[edited by] Patricia A. Adler, Peter Adler",2010
1,Essentials of sociology,4th ed New York : W. W. Norton & Company c2013,Anthony Giddens ... [et al.],2013
2,"Seeing ourselves : classic, contemporary, and cross-cultural readings in sociology","6th ed Upper Saddle River, N.J. : Pearson/Prentice-Hall c2004","edited by John J. Macionis, Nijole V. Benokraitis",2004
3,Readings for sociology,Eighth edition New York : W. W. Norton & Company 2015,edited by Garth Massey,2015
4,Invitation to sociology : a humanistic perspective,"1st Anchor Books ed Garden City, N.Y. : Anchor Books 1963","Peter L. Berger, Peter Ludwig Berger",1963
5,Sociology : exploring the architecture of everyday life > readings,7th ed Los Angeles : Pine Forge Press c2008,"[edited by] David M. Newman, Jodi O'Brien",2008
6,Sociology : exploring the architecture of everyday life readings,Tenth edition Los Angeles : SAGE 2015,"editor, David M. Newman, Jodi O'Brien, Michelle Robertson",2015
7,Sociological footprints : introductory readings in sociology,"Belmont, CA : Wadsworth/Cengage Learning c2010","[compiled by] Leonard Cargan, Jeanne H. Ballantine",2010
8,Readings for sociology,7th ed New York : W.W. Norton & Co. c2012,edited by Garth Massey,2012
9,The sociology of Georg Simmel,"Glencoe, Ill. : Free Press 1964","translated, edited, and with an introd., by Kurt H. Wolff",1964
10,基礎社會學 = Sociology basics,修訂版 台北市 : 群學出版有限公司 2009,"編著片桐新自, 永井良和, 山本雄二 ; 合著片桐新自 ... [et al.] ; 合譯蘇碩斌, 鄭陸霖",2009
11,The study of social problems : seven perspectives,7th ed Oxford ; New York : Oxford University Press 2011,"edited by Earl Rubington, Martin S. Weinberg",2011
12,The micro-macro link,Berkeley : University of California Press c1987,edited by Jeffrey C. Alexander ... [et al.],1987
13,The sociological imagination,New York : Oxford University Press 1959,,1959
14,On individuality and social forms; selected writings,Chicago : University of Chicago Press 1971,Georg Simmel ; edited and with an introduction by Donald N. Levine,1971
15,Contemporary social problems : an introduction to the sociology of deviant behavior and social disorganization,"New York : Harcourt, & Burlingame 1961",edited by R.K. Merton and Robert A. Nisbet,1961
16,Investigating the social world : the process and practice of research,"8 edition Thousand Oaks, California : SAGE Publications, Inc. 2015","Russell K. Schutt, University of Massachusetts Boston",2015
17,Learning from strangers : the art and method of qualitative interview studies,New York : Free Press ; Toronto : Maxwell Macmillan Canada ; New York : Maxwell Macmillan International c1994,Robert S. Weiss,1994
18,Contentious politics,"Boulder, Colo. : Paradigm Publishers 2007",Charles Tilly and Sidney Tarrow,2007
19,Medical sociology,"12th ed Upper Saddle River, NJ : Pearson Prentice Hall c2012",William C. Cockerham,2012
20,Class and stratification,"3rd ed Cambridge, UK ; Malden, MA : Polity Press 2008",Rosemary Crompton,2008
21,Class counts : comparative studies in class analysis,Cambridge ; New York : Cambridge University Press ; Paris : Maison des sciences de l'homme 1997,Erik Olin Wright,1997
22,"Damned lies and statistics : untangling numbers from the media, politicians, and activists","Updated ed Berkeley, Calif. ; London : University of California Press c2012",Joel Best,2012
23,Social structures,"Princeton, N.J. : Princeton University Press c2009",John Levi Martin,2009
24,Paul Tillich's radical social thought,Atlanta : John Knox Press c1980,Ronald H. Stone,1980
25,Representation,2nd ed London : Sage : The Open University 2013,"edited by Stuart Hall, Jessie Evans and Sean Nixon",2013
26,Approaches to class analysis,"Cambridge, UK ; New York : Cambridge University Press 2005",edited by Erik Olin Wright,2005
27,Civil society,"2nd ed Cambridge, UK ; Malden, MA : Polity Press 2009",Michael Edwards,2009
28,The Student's companion to sociology,Oxford : Blackwell Publishers 1997,"British editors: Jon Gubbay, Chris Middleton ; American editor: Chet Ballard",1997
29,Biblical studies alternatively : an introductory reader,"Upper Saddle River, N.J. : Prentice Hall c2003",[compiled by] Susanne Scholz,2003
30,Thinking about social problems : an introduction to constructionist perspectives,2nd ed New York : Aldine de Gruyter c2003,Donileen R. Loseke,2003
31,World-systems analysis : an introduction,Durham : Duke University Press 2004,Immanuel Wallerstein,2004
32,"Knowledge, education, and cultural change; papers in the sociology of education","{London : Tavistock distributed in the USA by Harper & Row Publishers, Barnes & Noble Import Division 1973",Edited by Richard Brown,1973
33,The social construction of reality : a treatise in the sociology of knowledge,"Harmondsworth : Penguin 1971, c1966",by Peter L. Berger and Thomas Luckmann,1966
34,The social construction of reality : a treatise in the sociology of knowledge,"Garden City, N.Y. : Doubleday 1967",[by] Peter L. Berger and Thomas Luckmann,1967
35,Community and society,New York : Harper & Row c1957,Ferdinand Tönnies,1957
36,Religion in Chinese society : a study of contemporary social functions of religion and some of their historical factors,Berkeley : University of California Press 1970,by C.K. Yang,1970
37,Power : a radical view,Macmillan : : London ; New York : Macmillan 1974,Steven Lukes,1974
38,The social teaching of the Christian churches,London : George Allen & Unwin ; New York : The Macmillan Company 1931,by Ernst Troeltsch ; translated by Olive Wyon ; with an introductory note by Charles Gore,1931
39,The true believer : thoughts on the nature of mass movements,New York : Harper & Row 1966,Eric Hoffer,1966
40,Asia's cultural mosaic : an anthropological introduction,New York : Prentice Hall 1993,"Grant Evans, editor",1993
41,Culture : critical concepts in sociology,London ; New York : Routledge 2003,edited by Chris Jenks,2003
42,The essential Weber : a reader,London ; New York : Routledge 2004,edited by Sam Whimster,2004
43,Theology of culture,New York : Oxford University Press 1959,Paul Tillich ; edited by Robert C. Kimball,1959
44,表征 : 文化表象与意指实踐,第1版 北京 : 商务印书馆 2003,"斯图尔特・霍尔编 ; 徐亮, 陆兴华译",2003
45,Hong Kong divided? : structures of social inequality in the twenty-first century,"Hong Kong : Hong Kong Institute of Asia-Pacific Studies, Chinese University of Hong Kong 2011","edited by Stephen Wing-Kai Chiu, Siu-lun Wong",2011
46,From sociology to cultural studies : new perspectives,"Malden, Mass. : Blackwell Publishers 1997",edited by Elizabeth Long,1997
47,文化研究智典,台北縣永和市 : 韋伯文化國際出版有限公司 2007,作者Chris Barker ; 譯者許夢芸,2007
48,Culture and society : contemporary debates,Cambridge ; New York : Cambridge University Press 1990,"edited by Jeffrey C. Alexander, Steven Seidman",1990
49,Consumer culture and modernity,"Cambridge, UK : Polity Press ; Cambridge, MA : Blackwell Publishers 1997",Don Slater,1997
50,文化硏究 : 理論與實踐,二版 臺北市 : 五南圖書出版公司 2010,Chris Barker著 ; 羅世宏主譯,2010
51,Reinstating class : a structural and developmental study of Hong Kong society,"Hong Kong : Social Sciences Research Centre, University of Hong Kong 1992","Thomas W.P. Wong, Tai-lok Lui",1992
52,The New institutionalism in organizational analysis,Chicago : University of Chicago Press 1991,edited by Walter W. Powell and Paul J. DiMaggio,1991
53,"Writing for social scientists : how to start and finish your thesis, book, or article",2nd ed Chicago : University of Chicago Press 2007,Howard S. Becker ; with a chapter by Pamela Richards,2007
54,Leadership without easy answers,"Cambridge, Mass. : Belknap Press of Harvard University Press 1994",Ronald A. Heifetz,1994
55,Writings in social philosophy and ethics = Sozialphilosophische und ethische Schriften,Berlin ; New York : De Gruyter ; Berlin : Evangelisches Verlagswerk 1998,Paul Tillich ; edited by Erdmann Sturm,1998
56,Understanding deviance : a guide to the sociology of crime and rule-breaking,6th ed Oxford ; New York : Oxford Univ Press 2011,"David Downes, Paul Rock",2011
57,巨变 : 当代政治与经济的起源,第1版 北京 : 社会科学文献出版社 2013,卡尔・波兰尼著 ; 黄树民译,2013
58,The great transformation : the political and economic origins of our time,"2nd Beacon Paperback ed Boston, MA : Beacon Press 2001",Karl Polanyi ; foreword by Joseph E. Stiglitz ; introduction by Fred Block,2001
59,當神話開始思考 : 網路社會的文化論,初版 臺北市 : 大鴻藝術 2012,福嶋亮大著 ; 蘇文淑譯,2012
60,Political expectation,[1st ed.] New York : Harper & Row 1971,,1971
61,艱難的轉型 : 現代化與中國社會,香港 : 中文大學出版社 2016,"陳健民, 鍾華編",2016
62,"Social stratification : class, race, and gender in sociological perspective","2nd ed Boulder, Colo. : Westview Press 2001",edited by David B. Grusky,2001
63,The Routledge international handbook of the sociology of education,London ; New York : Routledge 2010,"edited by Michael W. Apple, Stephen J. Ball and Luis Armando Gandin",2010
64,Structuring politics : historical institutionalism in comparative analysis,Cambridge ; New York : Cambridge University Press 1992,"edited by Sven Steinmo, Kathleen Thelen and Frank Longstreth",1992
65,Introduction to critical theory : Horkheimer to Habermas,Cambridge : Polity Press 1990,David Held,1990
66,信仰的完滿 : 神學的公共意義,初版 香港 : 道風書社 2013,"米歇爾・海姆斯, 肯尼思・海姆斯著 ; 李智譯 = Fullness of faith : the public significance of theology / Michael J. Himes, Kenneth R. Himes, OFM",2013
67,"市場, 階級與政治 : 變遷中的華人社會",香港 : 香港中文大學香港亞太硏究所 2000,劉兆佳 ... [等]編,2000
68,Power and ideology in education,New York : Oxford University Press 1977,edited and with an introduction by Jerome Karabel and A.H. Halsey,1977
69,Modern political analysis,"6th ed Upper Saddle River, NJ : Prentice Hall c2003","Robert A. Dahl, Bruce Stinebrickner",2003
70,Modern political analysis,"4th ed Englewood Cliffs, N.J. : Prentice-Hall c1984",Robert A. Dahl,1984
71,"Medicine, rationality, and experience : an anthropological perspective",Cambridge ; New York : Cambridge University Press 1994,Byron J. Good,1994
72,"Dimensions of Japanese society : gender, margins and mainstream","Basingstoke, Hampshire : Macmillan ; New York : St. Martin's Press 1999",Kenneth G. Henshall,1999
73,Cultural theory and popular culture : an introduction,Seventh edition London : Routledge/Taylor & Francis Group 2015,John Storey,2015
74,Global Olympics : historical and sociological studies of the modern games,1st ed Oxford : Elsevier JAI 2005,"edited by Kevin Young, Kevin B. Wamsley",2005
75,"Baptized in the fire of revolution : the American social gospel and the YMCA in China, 1919-1937","Bethlehem : Lehigh University Press ; London ; Cranbury, NJ : Associated University Presses c1996",Jun Xing,1996
76,Cultural studies : theory and practice,5th edition Los Angeles : SAGE 2016,"Chris Barker, Emma A. Jane",2016
77,文化研究簡史,初版 台北市 : 巨流圖書股份有限公司 2009,約翰・哈特利(John Hartley)著 ; 王君琦譯,2009
78,Cultural studies : a critical introduction,London ; New York : Routledge 2005,Simon During,2005
79,How to do media and cultural studies,"2nd ed Los Angeles, Calif. : SAGE 2013",Jane Stokes,2013
80,The city and the grassroots : a cross-cultural theory of urban social movements,Berkeley : University of California Press c1983,Manuel Castells,1983
81,Spaces of social exclusion,London ; New York : Routledge 2006,Jamie Gough and Aram Eisenschitz with Andrew McCulloch,2006
82,"The law of peoples ; with, The idea of public reason revisited","Cambridge, Mass. : Harvard University Press 1999",John Rawls,1999
83,"The Frankfurt School : its history, theories, and political significance",Cambridge : Polity Press 1994,Rolf Wiggershaus ; translated by Michael Robertson,1994
84,The Constant flux : a study of class mobility in industrial societies,Oxford : Clarendon Press ; New York : Oxford University Press 1992,Robert Erikson and John H. Goldthorpe,1992
85,Social work : theory and practice for a changing profession,"Cambridge, UK ; Malden, MA : Polity Press 2004",Lena Dominelli,2004
86,Expulsions : brutality and complexity in the global economy,"Cambridge, Massachusetts : The Belknap Press of Harvard University Press 2014",Saskia Sassen,2014
87,公共神學與政治經濟 : 現代社會中的基督徒管家職分,初版 香港 : 道風書社 2016,"斯塔克豪思著 ; 李錦程, 方永譯",2016
88,Culture and critique : an introduction to the critical discourses of cultural studies,"Boulder, Colo. : Westview Press 1998",Jere Paul Surber,1998
89,The culture of the new capitalism,New Haven : Yale University Press ©2006,Richard Sennett,2006
90,Keywords : a vocabulary of culture and society,"Rev. ed New York : Oxford University Press 1985, c1983",Raymond Williams,1983
91,Adult manga : culture and power in contemporary Japanese society,Honolulu : University of Hawaii Press c2000,Sharon Kinsella,2000
92,Culture and global change,London : Routledge 1999,Tracey Skelton and Tim Allen,1999
93,"Education, globalization, and social change",Oxford ; New York : Oxford University Press 2006,edited by Hugh Lauder ... [et al.],2006
94,Modernity and self-identity : self and society in the late modern age,Cambridge : Polity Press 1991,Anthony Giddens,1991
95,The retreat of the state : the diffusion of power in the world economy,Cambridge : Cambridge University Press 1996,Susan Strange,1996
96,"Splintering urbanism : networked infrastructures, technological mobilities and the urban condition",London ; New York : Routledge 2001,Stephen Graham and Simon Marvin,2001
97,Theoretical criminology,5th ed New York : Oxford University Press 2002,"by the late George B. Vold, Thomas J. Bernard, and Jeffrey B. Snipes",2002
98,Out of site : a social criticism of architecture,Seattle : Bay Press 1991,edited by Diane Ghirardo,1991
99,道德的人與不道德的社會,第1版 贵阳市 : 贵州人民出版社 1998,莱茵霍尔德・尼布尔著 ; 蒋庆 ... [等]译 ; 陈维政校,1998
100,Race after the Internet,New York : Routledge 2012,edited by Lisa Nakamura and Peter A. Chow-White,2012
101,A community of character : toward a constructive Christian social ethic,"Notre Dame, Ind. : University of Notre Dame Press c1981",Stanley Hauerwas,1981
102,Youth cultures in China,"Malden, MA : Polity 2017",Jeroen de Kloet and Anthony Y.H. Fung,2017
103,Education policy and social class : the selected works of Stephen J. Ball,London ; New York : Routledge 2006,Stephen J. Ball,2006
104,Deviance and medicalization : from badness to sickness : with a new afterword by the authors,Expanded ed Philadelphia : Temple University Press c1992,"Peter Conrad, Joseph W. Schneider ; foreword by Joseph R. Gusfield",1992
105,Critical resistance : from poststructuralism to post-critique,"Cambridge, Mass. : MIT Press c2004",David Couzens Hoy,2004
106,Urban world/global city,"2nd ed London ; New York, NY : Routledge 2003",David Clark,2003
107,Schools and society : a sociological approach to education,3rd ed Los Angeles : Pine Forge Press c2008,"[edited by] Jeanne H. Ballantine, Joan Z. Spade",2008
108,Justice and the politics of difference,"Princeton, N.J. : Princeton University Press c1990",Iris Marion Young,1990
109,Global problems and the culture of capitalism,Sixth Edition Boston : Pearson 2014,"Richard H. Robbins, State University of New York at Plattsburgh",2014
110,Global problems and the culture of capitalism,5th ed Boston : Prentice Hall c2011,Richard H. Robbins,2011
111,Sociology and the school : an interactionist viewpoint,London : Routledge & K. Paul 1983,Peter Woods,1983
112,Toward a Christian political ethics,London : SCM Press c1983,Jose Miguez Bonino,1983
113,文化研究關鍵詞,初版 臺北市 : 麥田出版 2013,汪民安主編,2013
114,Sociolinguistics : a resource book for students,2nd ed London ; New York : Routledge 2007,Peter Stockwell,2007
115,An introduction to sociolinguistics,"Fifth edition Milton Park, Abingdon, Oxon : Routledge 2017",Janet Holmes and Nick Wilson,2017
116,The Cultural studies reader,London ; New York : Routledge 1993,edited by Simon During,1993
117,"Language, society and culture in Hong Kong",Hong Kong : Open University of Hong Kong Press 2015,Eden Sum-hung Li,2015
118,The Routledge companion to sociolinguistics,London ; New York : Routledge 2007,"edited by Carmen Llamas, Louise Mullany and Peter Stockwell",2007
119,Critical discourse analysis : the critical study of language,2nd ed Harlow : Longman 2010,Norman Fairclough,2010
120,Sociolinguistics : method and interpretation,"Malden, MA : Blackwell Pub. 2003",Lesley Milroy and Matthew Gordon,2003
121,From village to city : social transformation in a Chinese county seat,"Oakland, California : University of California Press 2016",Andrew B. Kipnis,2016
122,Sociolinguistics : a reader and coursebook,Basingstoke : Palgrave Macmillan 1997,edited by Nikolas Coupland and Adam Jaworski,1997
123,Sociolinguistics : the essential readings,"Malden, MA : Blackwell Pub. 2003",edited by Christina Bratt Paulston and G. Richard Tucker,2003
124,Ethics and community,"Tunbridge Wells, Kent : Burns & Oates 1988",Enrique Dussel ; translated from the Spanish by Robert R. Barr,1988
125,Qualitative methods in sociolinguistics,New York : Oxford University Press 2000,Barbara Johnstone,2000
126,社会语言学槪论,第1版 上海 : 上海译文出版社 2002,"眞田信治 ... [等]著 ; 王素梅, 彭囯跃译",2002
127,"The iconography of landscape : essays on the symbolic representation, design and use of past environments",Cambridge : Cambridge University Press 1988,edited by Denis Cosgrove and Stephen Daniels,1988
128,Anywhere,New York : Rizzoli 1992,"[editor, Cynthia C. Davidson]",1992
129,The new institutionalism in education,Albany : State University of New York Press c2006,"edited by Heinz-Dieter Meyer, Brian Rowan",2006
130,Escape from freedom,1st Owl book ed New York : H. Holt 1994,Erich H. Fromm,1994
131,"Education : culture, economy, and society",Oxford ; New York : Oxford University Press 1997,edited by A.H. Halsey ... [et al.],1997
132,The sane society,"New York : Holt, Rinehart and Winston 1955",E. Fromm,1955
133,What's worth fighting for in your school? : working together for improvement,Buckingham : Open University Press 1992,Michael Fullan and Andy Hargreaves,1992
134,Globalizing cities : a new spatial order?,"Oxford ; Malden, Mass. : Blackwell 2000",edited by Peter Marcuse and Ronald van Kempen,2000
135,Education and social change in China : inequality in a market economy,"Armonk, NY : M.E. Sharpe 2006","Gerard A. Postiglione, editor ; forword by Stanely Rosen, Gerard A. Postiglione, editor ; foreword by Stanley Rosen",2006
136,"Unsettling cities : movement, settlement",London ; New York : Routledge 1999,"edited by John Allen, Doreen Massey and Michael Pryke",1999
137,Classical sociological theory,"3rd ed Chichester, West Sussex, ; Malden, MA : John Wiley & Sons 2012",edited by Craig Calhoun ... [et al.],2012
138,The social production of urban space,2nd ed Austin : University of Texas Press 1994,by M. Gottdiener,1994
139,The culture of education,"Cambridge, Mass. : Harvard University Press 1996",Jerome Bruner,1996
140,State sovereignty as social construct,Cambridge ; New York : Cambridge University Press 1996,edited by Thomas J. Biersteker and Cynthia Weber,1996
141,Occupy,London ; New York : Penguin 2012,Noam Chomsky,2012
142,"Triumph of the city : how our greatest invention makes us richer, smarter, greener, healthier, and happier",New York : Penguin Press 2011,Edward L. Glaeser,2011
143,The interweaving of rituals : funerals in the cultural exchange between China and Europe,Seattle : University of Washington Press c2008,Nicolas Standaert,2008
144,Order without law : how neighbors settle disputes,"Cambridge, Mass. : Harvard University Press 1991",Robert C. Ellickson,1991
145,Teachers' workplace : the social organization of schools,New York : Longman c1989,Susan J. Rosenholtz,1989
146,Reimagining social movements : from collectives to individuals,"Farnham, Surrey, UK : Ashgate Publishing Limited 2014","edited by Antimo L. Farro, Henri Lustiger-Thaler",2014
147,Class stratification : a comparative perspective,New York : Harvester Wheatsheaf 1995,"Richard Breen, David B. Rottman",1995
148,Urban geography,"Third edition Hoboken, NJ : Wiley 2014","David H. Kaplan, Steven R. Holloway, James O. Wheeler",2014
149,Foundations of social theory,"Cambridge, Mass. : Belknap Press of Harvard University Press 1990",James S. Coleman,1990
150,The practice of everyday life,Berkeley : University of California Press c1984,by Michel de Certeau ; translated by Steven F. Rendall,1984
151,Modern sociological theory,5th ed Boston : McGraw Hill c2000,George Ritzer,2000
152,Stratification : social division and inequality,London ; New York : Routledge 2005,Wendy Bottero,2005
153,Cities in space : city as place,"Savage, Md. : Barnes & Noble c1990",David T. Herbert and Colin J. Thomas,1990
154,The girl at the baggage claim : explaining the East-West culture gap,First edition New York : Alfred A. Knopf 2017,Gish Jen,2017
155,现实是过去的未来 [videorecording] = Disorder,"New York, NY : DGenerate Films distributor c2009",文达出品 ; 导演黄伟凯,2009
156,Century Tower : Foster Associates build in Japan,"Chiddingfold, Surrey : Watermark 1992","Colin Davies, Ian Lambot ; with contributions by Arata Isozaki ... [et al.]",1992
157,Identity and ethics in the book of Ruth : a social identity approach,Berlin ; New York : De Gruyter c2011,Peter H.W. Lau,2011
158,The social movements reader : cases and concepts,"Third edition Chichester, West Sussex, UK ; Malden, MA : Wiley Blackwell 2015",edited by Jeff Goodwin and James M. Jasper,2015
159,Understanding health and social care : an introductory reader,2nd ed Los Angeles : Sage ; Milton Keynes : Open University 2008,edited by Julia Johnson and Corrine De Souza,2008
160,The practice of social research,"Fourteenth edition Boston, MA : Cengage Learning 2016","Earl Babbie, Chapman University",2016
161,Social research methods,Oxford ; New York : Oxford University Press c2012,Alan Bryman,2012
162,Social research methods,International Edition Oxford : Oxford University Press 2016,Alan Bryman,2016
163,The sociology of religion,[Paperback ed.] Boston : Beacon Press 1964,Translated by Ephraim Fischoff. Introd. by Talcott Parsons,1964
164,The sacred canopy : elements of a sociological theory of religion,"[1st ed.] Garden City, N.Y. : Doubleday 1967",by Peter L. Berger,1967
165,Acts of faith : explaining the human side of religion,Berkeley : University of California Press c2000,Rodney Stark and Roger Finke,2000
166,Religion in sociological perspective,Sixth edition Los Angeles : SAGE 2016,"Keith A. Roberts, Hanover College, David Yamane, Wake Forest University",2016
167,The SAGE handbook of the sociology of religion,London : SAGE 2007,edited by James A. Beckford and N. J. Demerath III,2007
168,The sociology of religion : a substantive and transdisciplinary approach,Los Angeles : Pine Forge Press c2008,George Lundskow,2008
169,Public religions in the modern world,Chicago : University of Chicago Press c1994,José Casanova,1994
170,Invitation to the sociology of religion,New York ; London : Routledge 2003,Phil Zuckerman,2003
171,The Blackwell companion to sociology of religion,"Oxford, UK ; Malden, MA : Blackwell Publishers 2001",edited by Richard K. Fenn,2001
172,The Sociology of religion,"Aldershot, UK : E. Elgar c1995",edited by Steve Bruce,1995
